,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Alkin, M. C.",,,,,Debates on Evaluation,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
1,"Alkin, M. C.",,,,,Evaluation and Education: At Quarter Century,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
2,"Ball, S.",,,,,Educational Reform,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
3,"Brunsson, N.",,,,,The Organization of Hypocrisy,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
4,"Brunsson, N.","Olsen, J. P.",,,,Makten at reformera,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
5,"Chen, H.-T.",,,,,Theory-Driven Evaluations: A Comprehensive Perspective,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
6,"Coombs, P. H.",,,,,The World Educational Crisis: A Systems Analysis,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
7,"Cousins, J. B.","Leithwood, K. A.",,,,Current Research on Evaluation Utilization,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
8,"Crawson, R. L.","Boyd, W. L.","Mawhinney, H. B.",,,The Politics of Education and the New Institutionalism,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
9,"Dahllöf, U.",,,,,Skoldifferentiering och undervisningsförlop,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
10,"Durkheim, E.",,,,,The Evolution of Educational Thought,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
11,"Fetterman, D. M.",,,,,Empowerment Evaluation,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
12,"Franke-Wikberg, S.","Lundgren, U. P.",,,,Att värdera utbildning,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
13,"Freeman, H. E.","Rossi, P. H.",,,,Evaluation: A Systematic Approach,JOUR,"Haug, Peder",,,,,,,,,,Linking evaluation and reform strategies,New Directions for Evaluation,1998,77,1097-6736,https://doi.org/10.1002/ev.1092,5,20
