,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Bell, D.",,,,,Time's Up!,JOUR,"Jonas, R. Kirk",,,,,,,,,,Against the whim: State legislatures' use of program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1122,3,10
1,"Burns, J.",,,,,The Sometimes Governments,JOUR,"Jonas, R. Kirk",,,,,,,,,,Against the whim: State legislatures' use of program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1122,3,10
2,"Wisler, C.",,,,,Evaluation and Auditing: Prospects for Convergence,JOUR,"Jonas, R. Kirk",,,,,,,,,,Against the whim: State legislatures' use of program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1122,3,10
3,,,,,,Prudent Call for Added Vigilance at Investment Board,JOUR,"Bezruki, Don","Mueller, Janice","McKim, Karen",,,,,,,,Legislative utilization of evaluations,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1123,11,22
4,"Shulha, L., and Cousins, B.",,,,,"Evaluation Use: Theory, Research, and Practice Since 1986",JOUR,"Bezruki, Don","Mueller, Janice","McKim, Karen",,,,,,,,Legislative utilization of evaluations,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1123,11,22
5,"Wohlstetter, P.",,,,,The Politics of Legislative Evaluations: Fire Alarm and Police Patrol as Oversight Procedures,JOUR,"Bezruki, Don","Mueller, Janice","McKim, Karen",,,,,,,,Legislative utilization of evaluations,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1123,11,22
6,"Zahn, M.","Umhoefer, D.",,,,Questionable Care,JOUR,"Bezruki, Don","Mueller, Janice","McKim, Karen",,,,,,,,Legislative utilization of evaluations,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1123,11,22
7,"Archambeault, W. G.","Deis, D. R., Jr.",,,,"Cost Effectiveness Comparisons of Private Versus Public Prisons in Louisiana: A Comprehensive Analysis of Allen, Avoyelles, and Winn Correctional Centers, Phase I (Revised)",JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
8,"Chi, K. S.","Jasper, C.",,,,Private Practices: A Review of Privatization in State Government,JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
9,"Conrad, J. F.","Nelson, P.","Jones, K.",,,The PCEM Approach to Privatization in the Washington State Department of Transportation,JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
10,Coopers,Lybrand L.L.P.,,,,Independent Assessment of Massachusetts Highway Maintenance Privatization Program,JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
11,,,,,,Private and Public Prisons: Studies Comparing Operational Costs and/or Quality of Service,JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
12,,,,,,Privatization: Lessons Learned by State and Local Governments,JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
13,"Gow, D.","Jovicich, C.","Laws, M.","McLeod, S.","Kakowka, S.","From Public to Private: The Massachusetts Experience, 1991–1993",JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
14,,,,,,Department of Corrections Capacity Planning and Implementation,JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
15,,,,,,Department of Corrections Privatization Feasibility Study,JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
16,,,,,,"Department of Transportation Highways and Rail Programs Performance Audit, Proposed Final Report",JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
17,"Logan, C. H.","McGriff, B. W.",,,,Comparing Costs of Public and Private Prisons: A Case Study,JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
18,,,,,,Private Prisons in the United States: An Assessment of Current Practice,JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
19,"Sellers, M. P.",,,,,"Private and Public Prisons: A Comparison of Costs, Programs and Facilities",JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
20,"Thomas, R. C.",,,,,"Letter to William G. Archambeault, Louisiana State University",JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
21,,,,,,Comparison of Privately and Publicly Operated Corrections Facilities in Kentucky and Massachusetts,JOUR,"Thomas, Robert C.","Gookin, Kathy","Keating, Beth","Whitener, Valerie",,,,,,,Lessons learned from evaluating the feasibility of privatizing government services,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1124,23,31
22,,,,,,Federal Register,JOUR,"Jonas, R. Kirk",,,,,,,,,,Access to information: The legislative advantage,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1125,33,43
23,"Hinton, B.",,,,,Interview,JOUR,"Jonas, R. Kirk",,,,,,,,,,Access to information: The legislative advantage,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1125,33,43
24,,,,,,Review of the Comprehensive Services Act,JOUR,"Jonas, R. Kirk",,,,,,,,,,Access to information: The legislative advantage,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1125,33,43
25,,,,,,Services for Mentally Disabled Residents of Adult Care Residences,JOUR,"Jonas, R. Kirk",,,,,,,,,,Access to information: The legislative advantage,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1125,33,43
26,,,,,,Review of the Department of Taxation,JOUR,"Jonas, R. Kirk",,,,,,,,,,Access to information: The legislative advantage,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1125,33,43
27,,,,,,Reviewing Fee-Funded Regulatory Agencies' Programs for Impaired Licensees,JOUR,"Jonas, R. Kirk",,,,,,,,,,Access to information: The legislative advantage,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1125,33,43
28,"Brooks, R. A.",C. Wisler,,,,Blending Two Cultures: State Legislative Auditing and Evaluation,JOUR,"McIntire, Patrick W.","Glaze, Ann S.",,,,,,,,,The use of systems modeling in legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1126,45,60
29,"Cochrane, D. D.","Kestle, J.","Steinbok, P.","Evans, D.","Heron, N.",Model for the Cost Analysis of Shunted Hydrocephalic Children,JOUR,"McIntire, Patrick W.","Glaze, Ann S.",,,,,,,,,The use of systems modeling in legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1126,45,60
30,"Kim, D. H.",,,,,Toward Learning Organizations: Integrating Total Quality Control and Systems Thinking,JOUR,"McIntire, Patrick W.","Glaze, Ann S.",,,,,,,,,The use of systems modeling in legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1126,45,60
31,"Marvin, K. E.",,,,,Evaluation in Legislation,JOUR,"McIntire, Patrick W.","Glaze, Ann S.",,,,,,,,,The use of systems modeling in legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1126,45,60
32,"Morecroft, J.D.W.",,,,,System Dynamics and Microworlds for Policymakers,JOUR,"McIntire, Patrick W.","Glaze, Ann S.",,,,,,,,,The use of systems modeling in legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1126,45,60
33,,,,,,Oregon Commission on Children and Families: Funding and Use of Local Services,JOUR,"McIntire, Patrick W.","Glaze, Ann S.",,,,,,,,,The use of systems modeling in legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1126,45,60
34,"Richmond, B.",,,,,Systems Dynamics/Systems Thinking—Let's Just Get On with It,JOUR,"McIntire, Patrick W.","Glaze, Ann S.",,,,,,,,,The use of systems modeling in legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1126,45,60
35,"Stokey, E.","Zeckhauser, R.",,,,A Primer for Policy Analysis,JOUR,"McIntire, Patrick W.","Glaze, Ann S.",,,,,,,,,The use of systems modeling in legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1126,45,60
36,"Weiss, C. H.",,,,,Using Social Research in Public Policy-Making,JOUR,"McIntire, Patrick W.","Glaze, Ann S.",,,,,,,,,The use of systems modeling in legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1126,45,60
37,"Hamilton, J.",,,,,"Testing for Environmental Racism: Prejudice, Profits, Political Power?",JOUR,"Saunders-Newton, Desmond","Rest, Gregory J.","Turnage, Wayne M.",,,,,,,,Convergent policy analysis,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1127,61,72
38,"Patton, M. Q.",,,,,How to Use Qualitative Methods in Evaluation,JOUR,"Saunders-Newton, Desmond","Rest, Gregory J.","Turnage, Wayne M.",,,,,,,,Convergent policy analysis,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1127,61,72
39,"Brown, J. R.",,,,,Legislative Program Evaluation: Defining a Legislative Service and a Profession,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
40,"Craft, R.",,,,,Legislative Oversight in the States,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
41,"Diamond, J.",,,,,Kinship with the Stars,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
42,"Donmoyer, R.",,,,,This Issue: Talking ‘Truth’ to Power,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
43,"Donmoyer, R.",,,,,Introduction: Talking ‘Truth’ to Power: The Conversation Continues,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
44,"Greene, J. C.",,,,,Communication of Results and Utilization in Participatory Program Evaluation,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
45,"Hetrick, B.","Van Horn, C. E.",,,,Educational Research Information: Meeting the Needs of State Policy Makers,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
46,"Larsen, J. K.",,,,,The Knowledge Cycle,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
47,"Marshall, C.",,,,,Bridging the Chasm Between Policymakers and Educators,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
48,"Marshall, C.","Mitchell, D.","Wirt, F.",,,The Context of State-Level Policy Formation,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
49,"McDonnell, L. M.",,,,,Can Education Speak to State Policy?,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
50,"Patton, M. Q.",,,,,Utilization-Focused Evaluation: The New Century Text,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
51,"Scriven, M.",,,,,Evaluation Thesaurus,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
52,"Weiss, C. H.",,,,,Using Social Research in Public Policy Making,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
53,"Wildavsky, A.",,,,,Speaking Truth to Power: The Art and Craft of Policy Analysis,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
54,"Young, C. J.","Comtois, J.",,,,Evaluation in Legislation,JOUR,"Zajano, Nancy C.","Lochtefeld, Shannon S.",,,,,,,,,The nature of knowledge and language in the legislative arena,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1129,85,94
55,,,,,,Limiting Legislative Terms,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
56,"Brandl, J. E.",,,,,Evaluation and Politics,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
57,"Brooks, R. A.",,,,,Blending Two Cultures: State Legislative Auditing and Evaluation,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
58,"Cain, B.",,,,,The Politics and Law of Term Limits,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
59,"Capell, E. A.",,,,,Legislative Term Limits: Public Choice Perspectives,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
60,"Carey, J. M.",,,,,Term Limits and Legislative Representation,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
61,"Chelimsky, E.",,,,,The Political Environment of Evaluation and What It Means for the Development of the Field,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
62,"Chi, K. S.","Leatherby, D.",,,,State Legislative Term Limits,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
63,"Dye, T. R.",,,,,Politics in States and Communities,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
64,"Hansen, K.",,,,,The Third Revolution,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
65,"Hansen, K.",,,,,Term Limits for Better or Worse,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
66,"Hansen, K.",,,,,Living Within the Limits,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
67,"Kurfirst, R.",,,,,Term-Limit Logic: Paradigms and Paradoxes,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
68,"Mohan, R.",,,,,Legislative Evaluators: A Diverse Group of Professionals,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
69,,,,,,NCSLnet: State Term Limit Provisions,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
70,,,,,,A Second Look at the Cost of Legislatures,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
71,,,,,,The Politics of Program Evaluation,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
72,"Patton, M. Q.",,,,,Utilization-Focused Evaluation: The New Century Text,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
73,"Schrag, P.",,,,,The Populist Road to Hell: Term Limits in California,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
74,"Tabarrok, A.",,,,,"A Survey, Critique and New Defense of Term Limits",JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
75,"Thomas, C.","Hrebenar, R. J.",,,,Politics in the American States,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
76,"Weberg, B.",,,,,New Age Dawns for Legislative Staff,JOUR,"Mohan, Rakesh","Stutzman, Mary",,,,,,,,,The impact of term limits on legislative program evaluation,New Directions for Evaluation,1999,81,1097-6736,https://doi.org/10.1002/ev.1130,95,105
