,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Auspos, P.","Ball, J.","Goldman, B.","Gueron, J.",,Maine: Interim Findings from a Grant Diversion Program,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
1,"Ball, J.","Hamilton, G.","Hoerz, G.","Goldman, B.","Gueron, J.",West Virginia: Interim Findings on the Community Work Experience Demonstrations,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
2,"Ball, J.","Wolfhagen, C.","Gerould, D.","Solnick, L.",,The Participation of Private Businesses as Work Sponsors in the Youth Entitlement Demonstration,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
3,"Bane, M. J.","Ellwood, D. T.",,,,The Dynamics of Dependence: The Routes to Self-Sufficiency,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
4,"Ellwood, D. T.",,,,,Targeting “Would-Be” Long-Term Recipients of AFDC,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
5,"Friedlander, D.","Erickson, M.","Hamilton, G.","Knox, V.","Goldman, B.",West Virginia: Final Report on the Community Work Experience Demonstrations,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
6,"Friedlander, D.","Hoerz, G.","Long, D.","Quint, J.","Goldman, B.",Maryland: Final Report on the Employment Initiatives Evaluation,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
7,"Friedlander, D.","Hoerz, G.","Quint, J.","Riccio, J.","Goldman, B.",Arkansas: Final Report on the WORK Program in Two Counties,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
8,"Friedlander, D.","Long, D.",,,,A Study of Performance Measures and Subgroup Impacts in Three Welfare Employment Programs,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
9,"Goldman, B.","Friedlander, D.","Gueron, J.","Long, D.","Hamilton, G.",Findings from the San Diego Job Search and Work Experience Demonstration,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
10,"Goldman, B.","Friedlander, D.","Long, D.","Erickson, M.","Gueron, J.",Final Report on the San Diego Job Search and Work Experience Demonstration,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
11,"Goldman, B.","Gueron, J.","Ball, J.","Price, M.","Friedlander, D.",Preliminary Findings from the San Diego Job Search and Work Experience Demonstration,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
12,"Gueron, J. M.",R. F. Boruch,W. Wothke,,,The Demonstration of State Work/Welfare Initiatives,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
13,"Gueron, J. M.",,,,,Work Initiatives for Welfare Recipients: Lessons from a Multi-State Experiment,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
14,"Gueron, J. M.",,,,,Reforming Welfare with Work,JOUR,"Gueron, Judith M.",,,,,,,,,,Work-welfare programs,New Directions for Program Evaluation,1988,37,0164-7989,https://doi.org/10.1002/ev.1472,7,27
