,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Gardner, M.",,,,,The Great Samoan Hoax,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
1,"Gilovich, T.",,,,,How We Know What Isn't So: The Fallibility of Human Reason in Everyday Life,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
2,"Goldring, E. B.","Rallis, S. F.",,,,Principals of Dynamic Schools,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
3,"Gould, S. J.",,,,,The Panda's Thumb: More Reflections in Natural History,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
4,"Kirk, J.","Miller, M. L.",,,,Reliability and Validity in Qualitative Research,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
5,"Kliewer, T. D.",,,,,"America's Top Skiing Mecca? Why, Detroit!",JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
6,"Lincoln, Y. S.","Guba, E. G.",D. D. Williams,,,But Is It Rigorous? Trustworthiness and Authenticity in Naturalistic Evaluation,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
7,"Mead, M.",,,,,Coming of Age in Samoa: A Psychological Study of Primitive Youth for Western Civilization,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
8,"Saint Exupéry, A. de.",,,,,The Little Prince,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
9,"Sechrest, L.",,,,,Roots: Back to Our First Generations,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
10,,,,,,High School and Beyond: Administration and Teacher Survey,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
11,"Whittingham, R.",,,,,Sports Places Rated: Ranking America's Best Places to Enjoy Sports,JOUR,"Reichardt, Charles S.","Rallis, Sharon F.",,,,,,,,,The relationship between the qualitative and quantitative research traditions,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1663,5,11
12,"Bannister, R. C.",,,,,"Sociology and Scientism: The American Quest for Objectivity, 1880–1940",JOUR,"House, Ernest R.",,,,,,,,,,Integrating the quantitative and qualitative,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1664,13,22
13,"Bhaskar, R.",,,,,The Possibility of Naturalism,JOUR,"House, Ernest R.",,,,,,,,,,Integrating the quantitative and qualitative,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1664,13,22
14,"Campbell, D. T.",,,,,Qualitative Knowing in Action Research,JOUR,"House, Ernest R.",,,,,,,,,,Integrating the quantitative and qualitative,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1664,13,22
15,"Chomsky, N.",,,,,Language and Responsibility,JOUR,"House, Ernest R.",,,,,,,,,,Integrating the quantitative and qualitative,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1664,13,22
16,"Cordray, D. S.",W.M.K. Trochim,,,,Quasi-Experimental Analysis: A Mixture of Methods and Judgment,JOUR,"House, Ernest R.",,,,,,,,,,Integrating the quantitative and qualitative,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1664,13,22
17,"Davidson, D.",,,,,On the Very Idea of a Conceptual Scheme,JOUR,"House, Ernest R.",,,,,,,,,,Integrating the quantitative and qualitative,New Directions for Program Evaluation,1994,61,0164-7989,https://doi.org/10.1002/ev.1664,13,22
