,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Adelman, M. S.",,,,,Intervention Theory and Evaluating Efficacy,JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
1,"Ashby, W. R.",,,,,Introduction to Cybernetics,JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
2,"Baker, F.","Intagliata, J.",,,,Quality of Life in the Evaluation of Community Support Systems,JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
3,"Bickman, L.",,,,,Improving Established Statewide Programs: A Component Theory of Evaluation,JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
4,"Bickman, L.",L. Bickman,,,,The Functions of Program Theory,JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
5,"Boruch, R. F.","Gomez, M.",,,,"Sensitivity, Bias, and Theory in Impact Evaluations",JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
6,"Bougon, M. G.",,,,,Beyond Method: A Study of Organization of Research Strategies,JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
7,"Brinberg, D.","McGrath, J. E.",,,,Validity and the Research Process,JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
8,"Brownell, K. D.","Marlatt, G. A.","Lichtenstein, E.","Wilson, G. T.",,Understanding and Preventing Relapse,JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
9,"Campbell, D. T.",W.M.K. Trochim,,,,Relabeling Internal and External Validity for Applied Social Scientists,JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
10,"Campbell, D. T.","Stanley, J. C.",,,,Experimental and Quasi-Experimental Designs for Research,JOUR,"Lipsey, Mark W.",,,,,,,,,,Theory as method: Small theories of treatments,New Directions for Program Evaluation,1993,57,0164-7989,https://doi.org/10.1002/ev.1637,5,38
