,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Barry, B.",,,,,Political Argument,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
1,"Barry, B.",,,,,The Liberal Theory of Justice,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
2,"Barry, B.",,,,,Theories of Justice,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
3,"Bellah, R. N.","Madsen, R.","Sullivan, W.","Swidler, A.","Tipton, S.",Habits of the Heart,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
4,"Ericson, D. P.",,,,,The Sociology of Educational Expansion,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
5,"Ericson, D. P.",,,,,Of Minima and Maxima: The Social Significance of Minimal Competency Testing and the Search for Educational Excellence,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
6,"Ericson, D. P.",,,,,Justice and Compulsion in the Educational System,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
7,"Ericson, D. P.","Robertshaw, D.",,,,Social Justice and the Community College,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
8,"Feinberg, J.",,,,,Doing and Deserving,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
9,"Green, T. F.","Ericson, D. P.","Seidman, R. H.",,,Predicting the Behavior of the Educational System,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
10,"Hesse, M.",,,,,Action and Interpretation,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
11,"Mill, J. S.",,,,,Utilitarianism,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
12,"Miller, D.",,,,,Social Justice,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
13,"Nozick, R.",,,,,"Anarchy, State, and Utopia",JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
14,"Rawls, J.",,,,,A Theory of Justice,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
15,"Rawls, J.",,,,,Kantian Constructivism in Moral Theory: The Dewey Lectures,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
16,"Sandel, M.",,,,,Liberalism and the Limits of Justice,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
17,"Smart, J.J.C.",,,,,Justice and Economic Distribution,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
18,"Stoutland, F.",,,,,Self and Society in the Claims of Individualism,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
19,,,,,,"Standards for Evaluations of Educational Programs, Projects, and Materials",JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
20,"Taylor, C.",,,,,Neutrality in Political Science,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
21,"Thomas, D.",,,,,Naturalism and Social Science,JOUR,"Ericson, David P.",,,,,,,,,,"Social justice, evaluation, and the educational system",New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1538,5,21
22,"Bickman, L.",,,,,Using Program Theory in Evaluation,JOUR,"House, Ernest R.",,,,,,,,,,Methodology and justice,New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1539,23,36
23,"Campbell, D. T.",,,,,Reforms as Experiments,JOUR,"House, Ernest R.",,,,,,,,,,Methodology and justice,New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1539,23,36
24,"Campbell, D. T.","Stanley, J. C.",,,,Handbook of Research on Teaching,JOUR,"House, Ernest R.",,,,,,,,,,Methodology and justice,New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1539,23,36
25,"Chen, H. T.","Rossi, P. H.",R. F. Conner,,,Evaluating with Sense: The Theory Driven Approach,JOUR,"House, Ernest R.",,,,,,,,,,Methodology and justice,New Directions for Program Evaluation,1990,45,0164-7989,https://doi.org/10.1002/ev.1539,23,36
