,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Baizerman, M. L.",,,,,Why a Community Needs Its Adolescents,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
1,"Bishop, A. H.","Scudder, J. R.",,,,"The Practical, Moral, and Personal Sense of Nursing: A Phenomenological Philosophy of Practice",JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
2,"Buber, M.",,,,,The Knowledge of Man,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
3,"Dryfoos, J.",,,,,Adolescents At-Risk: Prevalence and Prevention,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
4,"Edelman, M.",,,,,Politics as Symbolic Action: Mass Arousal and Quiescence,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
5,"Freire, P.","Faundeg, A.",,,,Learning to Question: A Pedagogy of Liberation,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
6,"Freire, P.","Macedo, D.",,,,Literacy: Reading the Word of the World,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
7,"Gadow, S.",,,,,Nursing Images and Ideals,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
8,"McLaren, P.",,,,,Life in Schools: An Introduction to Critical Pedagogy in the Foundations of Education,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
9,"MacMahon, B.","Pugh, T. F.","Ipsen, J.",,,Epidemiology,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
10,"Mishler, E. G.",,,,,The Discourse of Medicine: Dialectics of Medical Interviews,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
11,"Nelkin, D.",,,,,The Language of Risk: Conflicting Perspectives in Occupational Health,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
12,"Schwandt, T. A.",C. L. Larson,H. Preskill,,,Evaluation as Moral Critique,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
13,"Sirotnik, K. A.",,,,,Evaluation and Social Justice: Issues in Public Education,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
14,"Van Peursen, C. A.",,,,,Ludwig Wittgenstein,JOUR,"Baizerman, Michael","Compton, Donald",,,,,,,,,From respondent and informant to consultant and participant: The evolution of a state agency policy evaluation,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1597,5,15
15,"Grant, C.",,,,,"Multicultural Education: Examining the Why, What, and How",JOUR,"Stockdill, Stacey Hueftle","Duhon-Sells, Rose Marie","Olson, Ruth Anne","Patton, Michael Quinn",,,,,,,Voices in the design and evaluation of a multicultural education program: A developmental approach,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1598,17,33
16,,,,,,"Standards for Evaluations of Educational Programs, Projects, and Materials",JOUR,"Stockdill, Stacey Hueftle","Duhon-Sells, Rose Marie","Olson, Ruth Anne","Patton, Michael Quinn",,,,,,,Voices in the design and evaluation of a multicultural education program: A developmental approach,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1598,17,33
17,"Patton, M. Q.",,,,,Utilization-Focused Evaluation,JOUR,"Stockdill, Stacey Hueftle","Duhon-Sells, Rose Marie","Olson, Ruth Anne","Patton, Michael Quinn",,,,,,,Voices in the design and evaluation of a multicultural education program: A developmental approach,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1598,17,33
18,"Sleeter, C.","Grant, C.",,,,An Analysis of Multicultural Education in the United States,JOUR,"Stockdill, Stacey Hueftle","Duhon-Sells, Rose Marie","Olson, Ruth Anne","Patton, Michael Quinn",,,,,,,Voices in the design and evaluation of a multicultural education program: A developmental approach,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1598,17,33
19,"Stockdill, S. H.",,,,,Lessons Learned Evaluation Report,JOUR,"Stockdill, Stacey Hueftle","Duhon-Sells, Rose Marie","Olson, Ruth Anne","Patton, Michael Quinn",,,,,,,Voices in the design and evaluation of a multicultural education program: A developmental approach,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1598,17,33
20,"Bickman, L.",,,,,Using Program Theory in Evaluation,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
21,"Bickman, L.",,,,,Advances in Program Theory,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
22,"Chen, H. T.",L. Bickman,,,,Issues in Constructing Program Theory,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
23,"Chen, H. T.","Rossi, P. H.",,,,"The Multi-Goal, Theory-Driven Approach to Evaluation: A Model Linking Basic and Applied Social Science",JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
24,"Chen, H. T.","Rossi, P. H.",,,,Evaluating with Sense: The Theory-Driven Approach,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
25,"Cronbach, L. J.",,,,,Designing Evaluations of Educational and Social Programs,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
26,"Cuthbert, M.",M. Patton,,,,Evaluation Encounters in Third-World Settings: A Caribbean Perspective,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
27,"Edwards, P. K.",,,,,Conceptual and Methodological Issues in Evaluating Emergent Proposals,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
28,"Faase, T. P.","Pujdak, S.",J. Nowakowski,,,Shared Understanding of Organizational Culture,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
29,"Guba, E. G.","Lincoln, Y. S.",,,,Fourth-Generation Evaluation,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
30,"Hage, J.",,,,,Techniques and Problems of Theory Construction in Sociology,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
31,"Hilliard, A. G., III.",,,,,Kemetic (Egyptian) Historical Revision: Implications for Cross-Cultural Evaluation and Research in Education,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
32,"House, E. R.",E. R. House,,,,How We Think About Evaluation,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
33,"House, E. R.",K. A. Sirotnik,,,,Methodology and Justice,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
34,"Kaplan, A.",,,,,The Conduct of Inquiry: Methodology for Behavioral Science,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
35,"Kimmel, A. J.",,,,,Ethics and Values in Applied Research,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
36,"Lincoln, Y. S.",,,,,The Arts and Sciences of Program Evaluation,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
37,"Nachmias, D.","Nachmias, C.",,,,Research Methods in the Social Sciences,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
38,"Patton, M. Q.",,,,,Utilization-Focused Evaluation,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
39,"Przeworski, A.","Teune, H.",,,,The Logic of Comparative Inquiry,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
40,"Smith, N. L.",L. Bickman,,,,Using Path Analysis to Develop and Evaluate Program Theory and Impact,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
41,"Smith, N. L.",,,,,Evaluation Reflections: The Context of Investigations in Cross-Culture Evaluations,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
42,"Stake, R. E.",,,,,Evaluation Models: Viewpoints on Educational and Human Services Evaluation,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
43,"Steinmetz, A.",,,,,Evaluation Models: Viewpoints on Educational and Human Services Evaluation,JOUR,"Madison, Anna-Marie",,,,,,,,,,Primary inclusion of culturally diverse minority program participants in the evaluation process,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1599,35,43
44,"Aronowitz, S.","Giroux, H. A.",,,,"Education Under Siege: The Conservative, Liberal, and Radical Debate Over Schooling",JOUR,"McDowell, Ceasar L.",,,,,,,,,,Standardized tests and program evaluation: Inappropriate measures in critical times,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1600,45,54
45,"Bartel, N. R.","Grill, J. J.","Bryden, D. N.",,,Language Characteristics of Black Children: Implications for Assessment,JOUR,"McDowell, Ceasar L.",,,,,,,,,,Standardized tests and program evaluation: Inappropriate measures in critical times,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1600,45,54
46,"Baugh, J.",,,,,,JOUR,"McDowell, Ceasar L.",,,,,,,,,,Standardized tests and program evaluation: Inappropriate measures in critical times,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1600,45,54
47,"Bowles, S.","Gintis, H.",,,,"Democracy and Capitalism: Property, Community, and the Contradictions of Modern Social Thought",JOUR,"McDowell, Ceasar L.",,,,,,,,,,Standardized tests and program evaluation: Inappropriate measures in critical times,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1600,45,54
48,"Briggs, C. L.",,,,,Learning How to Ask: Native Metacommunicative Competence and the Incompetence of Fieldworkers,JOUR,"McDowell, Ceasar L.",,,,,,,,,,Standardized tests and program evaluation: Inappropriate measures in critical times,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1600,45,54
49,"Bronfenbrenner, U.",,,,,The Ecology of Human Development,JOUR,"McDowell, Ceasar L.",,,,,,,,,,Standardized tests and program evaluation: Inappropriate measures in critical times,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1600,45,54
50,"Bronfenbrenner, U.",,,,,National Research Council: Issues and Studies,JOUR,"McDowell, Ceasar L.",,,,,,,,,,Standardized tests and program evaluation: Inappropriate measures in critical times,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1600,45,54
51,"Bronfenbrenner, U.",,,,,Ecology of the Family as a Context for Human Development,JOUR,"McDowell, Ceasar L.",,,,,,,,,,Standardized tests and program evaluation: Inappropriate measures in critical times,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1600,45,54
52,"Bronfenbrenner, U.",,,,,Annals of Child Development,JOUR,"McDowell, Ceasar L.",,,,,,,,,,Standardized tests and program evaluation: Inappropriate measures in critical times,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1600,45,54
53,"Cole, M.","Bruner, J.",,,,Cultural Differences and Inferences of Intelligence,JOUR,"McDowell, Ceasar L.",,,,,,,,,,Standardized tests and program evaluation: Inappropriate measures in critical times,New Directions for Program Evaluation,1992,53,0164-7989,https://doi.org/10.1002/ev.1600,45,54
