,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Chelimsky, E.",,,,,,JOUR,"Sonnichsen, Richard C.",,,,,,,,,,Program managers: Victims or victors in the evaluation process?,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1502,15,25
1,"Chelimsky, E.",,,,,Program Evaluation: Patterns and Directions,JOUR,"Sonnichsen, Richard C.",,,,,,,,,,Program managers: Victims or victors in the evaluation process?,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1502,15,25
2,"Sanera, M.",,,,,Mandate for Leadership II: Continuing the Conservative Revolution,JOUR,"Sonnichsen, Richard C.",,,,,,,,,,Program managers: Victims or victors in the evaluation process?,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1502,15,25
3,"Sonnichsen, R. C.",,,,,Advocacy Evaluation: A Model for Internal Evaluation Offices,JOUR,"Sonnichsen, Richard C.",,,,,,,,,,Program managers: Victims or victors in the evaluation process?,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1502,15,25
4,"Sonnichsen, R. C.",,,,,Improving Government Performance: Evaluation Strategies for Strengthening Public Agencies and Programs,JOUR,"Sonnichsen, Richard C.",,,,,,,,,,Program managers: Victims or victors in the evaluation process?,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1502,15,25
5,"Lindbloom, C. E.","Cohen, D. K.",,,,Usable Knowledge,JOUR,"Fishman, Michael E.",,,,,,,,,,Evaluation and congress,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1503,27,33
6,"Radin, B. A.",,,,,Making and Managing Policy,JOUR,"Fishman, Michael E.",,,,,,,,,,Evaluation and congress,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1503,27,33
7,"Weiss, C. H.",,,,,Social Science Research and Government,JOUR,"Fishman, Michael E.",,,,,,,,,,Evaluation and congress,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1503,27,33
8,"Young, C. Y.","Comtois, J.",,,,Evaluation In Legislation,JOUR,"Fishman, Michael E.",,,,,,,,,,Evaluation and congress,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1503,27,33
9,"Zweig, F. M.",,,,,Evaluation in Legislation,JOUR,"Fishman, Michael E.",,,,,,,,,,Evaluation and congress,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1503,27,33
10,"Gormley, W.","Rosenweig, F.",,,,Facilitator's Guide for Conducting a Team Planning Meeting,JOUR,"Werge, Robert","Haag, Richard A.",,,,,,,,,Three techniques for helping international program managers use evaluation findings,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1505,49,56
11,"Haag, R.",,,,,Country Program Review Monitoring: A Field Manual,JOUR,"Werge, Robert","Haag, Richard A.",,,,,,,,,Three techniques for helping international program managers use evaluation findings,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1505,49,56
12,"Kettering, M.",,,,,Making Technical Assistance Teams More Effective,JOUR,"Werge, Robert","Haag, Richard A.",,,,,,,,,Three techniques for helping international program managers use evaluation findings,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1505,49,56
13,"Berkley, G. E.",,,,,The Administration Revolution,JOUR,"Oman, Ray C.",,,,,,,,,,Process dimensions in program evaluation,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1507,71,78
14,"Oman, R. C.","Chitwood, S. R.",,,,Management Evaluation Studies: Factors Affecting Acceptance of Recommendations,JOUR,"Oman, Ray C.",,,,,,,,,,Process dimensions in program evaluation,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1507,71,78
15,"Silverman, D.",,,,,The Theory of Organizations,JOUR,"Oman, Ray C.",,,,,,,,,,Process dimensions in program evaluation,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1507,71,78
16,"Van de Vall, M. D.","Bolas, C.",,,,The Utilization of Social Policy Research: An Empirical Analysis of Its Structure and Functions,JOUR,"Oman, Ray C.",,,,,,,,,,Process dimensions in program evaluation,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1507,71,78
17,"Van de Vall, M. D.","Bolas, C.","Kang, T. S.",,,"Applied Social Research in Industrial Organizations: An Evaluation of Functions, Theory, and Methods",JOUR,"Oman, Ray C.",,,,,,,,,,Process dimensions in program evaluation,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1507,71,78
18,"Waller, J. D.",,,,,Developing Useful Evaluation Capability: Lessons from the Model Evaluation Program,JOUR,"Oman, Ray C.",,,,,,,,,,Process dimensions in program evaluation,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1507,71,78
19,"Weber, M.",,,,,The Theory of Social and Economic Organization,JOUR,"Oman, Ray C.",,,,,,,,,,Process dimensions in program evaluation,New Directions for Program Evaluation,1989,41,0164-7989,https://doi.org/10.1002/ev.1507,71,78
0,"Brandao, C. R.",,,,,Teoría y Práctica de la Educación Popular,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
1,"Brunner, I.",,,,,Appropriation: The Transformation from Social Group to Collective Historical Actor,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
2,,,,,,Primer seminario teórico sobre evaluación: Informe final,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
3,,,,,,Segundo seminario teórico sobre evaluatión: Informe final,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
4,,,,,,Tercer seminario teórico sobre evaluación: Informe final,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
5,"De Schutter, A.",,,,,Investigación participativa: Una opción metodológica para la educación de adultos,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
6,,,,,,Country Report: Mexico,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
7,,,,,,Teoría y práctica de la educación popular,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
8,"Gianotten, V.",,,,,Methodological Notes for Evaluation,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
9,"Guzman, A.",,,,,The Effective Combination of Macro and Micro Studies to Assess National Training Programs,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
10,"House, E.",,,,,Evaluating with Validity,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
11,,,,,,,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
12,,,,,,Annuario estadístico de los estados unidos mexicanos,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
13,"Klees, P.","Esmanhoto, J.","Werthein, J.",,,Teoría y práctica de la educación popular,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
14,,,,,,Lecturas sobre educación de adultos en América Latina,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
15,,,,,,Investigación participativa: Algunos aspectos críticos y problemáticos,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
16,"Richards, H.",,,,,The Evaluation of Cultural Action,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
17,,,,,,Participatory Research and Evaluation,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
18,"Walker, H.",,,,,Una evaluación para los proyectos de educación popular,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
19,"Zuñiga, L.",,,,,Enfoques y experiencias sobre evaluación en educación de adultos,JOUR,"Brunner, Ilse","Guzman, Alba",,,,,,,,,Participatory evaluation: A tool to assess projects and empower people,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1509,9,18
20,"Brook, R.","Lohr, K.",,,,"Efficacy, Effectiveness, Variations, and Quality",JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
21,"Christoffel, J.","Loewental, U.",,,,Evaluating the Quality of Ambulatory Health Care,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
22,"Cochrane, L.",,,,,Effectiveness and Efficiency,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
23,,,,,,PSRO Fact Book,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
24,"Donabedian, A.",,,,,Evaluating the Quality of Medical Care: Process Versus Outcome,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
25,"Fox, R. C.",,,,,Sociologists at Work: Essays on the Craft of Social Research,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
26,"Goran, M. J.",,,,,The PSRO Hospital Review System,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
27,"Grol, R.",,,,,Kwaliteitsbewaking in de huisartsgeneenskunde,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
28,"Juran, J.",,,,,Japanse en Westerse kwaliteit,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
29,"Kaorn, I.",,,,,Guide to Quality Control,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
30,"Moser, H.",,,,,Methoden der Aktionsforschung,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
31,"Mushinski, M.",,,,,Evaluation Research Pertaining to Health Care Delivery Systems and Neighborhood Health Centers: A Selected Annotated Bibliography,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
32,,,,,,Patient Participation in General Practice,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
33,"Putnam, R.","Curry, L.",,,,Impact of Patient Care Appraisal on Physician Behavior in the Office Setting,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
34,,,,,,What Sort of Doctor? Assessing Quality of Care in General Practice,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
35,"Shaw, C.",,,,,Aspects of Audit,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
36,"Tonens, W.",,,,,Ambulatory Care Evaluation: A Primer for Quality Review,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
37,"Touraine, J.",,,,,Production de la société,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
38,"Vuori, H.",,,,,L'assurance de la qualité des prestations de santé,JOUR,"Schillemans, Leo","Grande, Lieve De","Remmen, Roy",,,,,,,,Using quality circles to evaluate the efficacy of primary health care,New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1510,19,27
39,"Crowther, W.",,,,,Los problemas de seguimiento y control de proyectos,JOUR,"Picado, Xinia",,,,,,,,,,"Local politics, program implementation, and program evaluation",New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1511,31,37
40,"Figueres, J.",,,,,La pobreza de las naciones,JOUR,"Picado, Xinia",,,,,,,,,,"Local politics, program implementation, and program evaluation",New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1511,31,37
41,"Flores, G.","Nef, J.",,,,"Hacia un nuevo paradigma de la administración pública: Administración pública, desarrollo y subdesarrollo",JOUR,"Picado, Xinia",,,,,,,,,,"Local politics, program implementation, and program evaluation",New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1511,31,37
42,"González, V.",,,,,El estudio de las relaciones estado-sociedad,JOUR,"Picado, Xinia",,,,,,,,,,"Local politics, program implementation, and program evaluation",New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1511,31,37
43,"Oszlak, O.","O'Donnell, J.",,,,Estado y políticas estatales en América Latina: Hacia una estrategia de investigación,JOUR,"Picado, Xinia",,,,,,,,,,"Local politics, program implementation, and program evaluation",New Directions for Program Evaluation,1989,42,0164-7989,https://doi.org/10.1002/ev.1511,31,37
