,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Anderson, C. A.","Sechler, E. S.",,,,Effects Explanation and Counterexplanation in the Development and Use of Social Theories,JOUR,"Bickman, Leonard",,,,,,,,,,The functions of program theory,New Directions for Program Evaluation,1987,33,0164-7989,https://doi.org/10.1002/ev.1443,5,18
1,"Bandura, A.",,,,,Aggression: A Social Learning Analysis,JOUR,"Bickman, Leonard",,,,,,,,,,The functions of program theory,New Directions for Program Evaluation,1987,33,0164-7989,https://doi.org/10.1002/ev.1443,5,18
2,"Bickman, L.",,,,,Program Evaluation and Social Psychology: The Achievement of Relevancy,JOUR,"Bickman, Leonard",,,,,,,,,,The functions of program theory,New Directions for Program Evaluation,1987,33,0164-7989,https://doi.org/10.1002/ev.1443,5,18
3,"Bickman, L.",,,,,Evaluating Prevention Programs,JOUR,"Bickman, Leonard",,,,,,,,,,The functions of program theory,New Directions for Program Evaluation,1987,33,0164-7989,https://doi.org/10.1002/ev.1443,5,18
4,"Bickman, L.",,,,,Improving Established Statewide Programs: A Component Theory of Evaluation,JOUR,"Bickman, Leonard",,,,,,,,,,The functions of program theory,New Directions for Program Evaluation,1987,33,0164-7989,https://doi.org/10.1002/ev.1443,5,18
5,"Bickman, L.",R. Boruch,W. Wothke,,,Randomized Field Experiments in Education: Implementation Lessons,JOUR,"Bickman, Leonard",,,,,,,,,,The functions of program theory,New Directions for Program Evaluation,1987,33,0164-7989,https://doi.org/10.1002/ev.1443,5,18
6,"Bickman, L.","Rog, D.",,,,Evaluating Early Intervention Programs for Severely Handicapped Children and Their Families,JOUR,"Bickman, Leonard",,,,,,,,,,The functions of program theory,New Directions for Program Evaluation,1987,33,0164-7989,https://doi.org/10.1002/ev.1443,5,18
7,"Brenner, M.",,,,,The Research Interview: Uses and Approaches,JOUR,"Bickman, Leonard",,,,,,,,,,The functions of program theory,New Directions for Program Evaluation,1987,33,0164-7989,https://doi.org/10.1002/ev.1443,5,18
8,"Campbell, D. T.",,,,,Reforms as Experiments,JOUR,"Bickman, Leonard",,,,,,,,,,The functions of program theory,New Directions for Program Evaluation,1987,33,0164-7989,https://doi.org/10.1002/ev.1443,5,18
9,"Canter, D.","Brown, J.","Groat, L.",,,The Research Interview: Uses and Approaches,JOUR,"Bickman, Leonard",,,,,,,,,,The functions of program theory,New Directions for Program Evaluation,1987,33,0164-7989,https://doi.org/10.1002/ev.1443,5,18
