,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Smith, N. L.",,,,,Requirements for a Discipline of Evaluation,JOUR,"Smith, Nick L.",,,,,,,,,,Assessing innovative methods,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1294,3,9
1,,,,,,Metaphors for Evaluation: Sources of New Methods,JOUR,"Smith, Nick L.",,,,,,,,,,Assessing innovative methods,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1294,3,9
2,"Smith, N. L.",,,,,New Directions for Program Evaluation: Federal Efforts to Develop New Evaluation Methods,JOUR,"Smith, Nick L.",,,,,,,,,,Assessing innovative methods,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1294,3,9
3,,,,,,New Techniques for Evaluation,JOUR,"Smith, Nick L.",,,,,,,,,,Assessing innovative methods,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1294,3,9
4,"Smith, N. L.",,,,,Studies in Educational Evaluation,JOUR,"Smith, Nick L.",,,,,,,,,,Assessing innovative methods,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1294,3,9
5,"Agee, J.",,,,,Agee on Film,JOUR,"Della-Piana, Gabriel M.",,,,,,,,,,Film criticism and micro-computer courseware evaluation,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1295,11,28
6,"Auerbach, E.",,,,,Mimesis: The Representation of Reality in Western Literature,JOUR,"Della-Piana, Gabriel M.",,,,,,,,,,Film criticism and micro-computer courseware evaluation,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1295,11,28
7,"Beh, S. H.",,,,,Movies and Methods,JOUR,"Della-Piana, Gabriel M.",,,,,,,,,,Film criticism and micro-computer courseware evaluation,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1295,11,28
8,"Brown, J. S.","Burton, R. R.",,,,Diagnostic Models for Procedural Bugs in Basic Mathematical Skills,JOUR,"Della-Piana, Gabriel M.",,,,,,,,,,Film criticism and micro-computer courseware evaluation,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1295,11,28
9,"Case, R.",,,,,"Cognition, Development, and Instruction",JOUR,"Della-Piana, Gabriel M.",,,,,,,,,,Film criticism and micro-computer courseware evaluation,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1295,11,28
10,"Collis, K. F.",,,,,"Cognition, Development, and Instruction",JOUR,"Della-Piana, Gabriel M.",,,,,,,,,,Film criticism and micro-computer courseware evaluation,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1295,11,28
11,"Della-Piana, G.",,,,,New Techniques for Evaluation,JOUR,"Della-Piana, Gabriel M.",,,,,,,,,,Film criticism and micro-computer courseware evaluation,New Directions for Program Evaluation,1982,13,0164-7989,https://doi.org/10.1002/ev.1295,11,28
