,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Alkin, M. C.",,,,,A Guide for Evaluation Decision Makers,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
1,"Alkin, M. C.",,,,,Debates on Evaluation,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
2,"Alkin, M. C.","Daillak, R.","White, P.",,,Using Evaluations: Does Evaluation Make a Difference?,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
3,"Argyris, C.",,,,,Theories of Action That Inhibit Learning,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
4,"Beck, B.E.F.","Moore, L. F.",,,,Organizational Culture,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
5,"Berger, M. A.",,,,,Corporate Cultures: Research Implications for Human Resource Development,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
6,"Braskamp, L. A.",,,,,Assessing the Utilization of a Program Evaluation: A Review,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
7,"Braskamp, L. A.",,,,,A Definition of Use,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
8,"Caplan, N.",,,,,Using Social Research in Public Policy Making,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
9,"Clark, B. R.",,,,,The Organizational Saga in Higher Education,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
10,"Cousins, J. B.","Leithwood, K. A.",,,,Current Empirical Research on Evaluation Utilization,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
11,"Deal, T. E.",,,,,Corporate Cultures: Research Implications for Human Resource Development,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
12,"Deal, T. E.","Kennedy, A. A.",,,,Corporate Cultures,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
13,"Elliot, R. D.",,,,,The Challenge of Managing Change,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
14,"Faase, T. P.","Pujdak, S.",J. Nowakowski,,,Shared Understanding of Organizational Culture,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
15,"Farrell, C.","Schiller, Z.","Zellner, W.","Hof, R.","Schroeder, M.",The Best and Worst Deals of the 1980s,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
16,"Geertz, C.",,,,,The Interpretation of Cultures,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
17,"Glidewell, J. C.",,,,,Corporate Cultures: Research Implications for Human Resource Development,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
18,"Harris, S. G.","Sutton, R. I.",,,,Functions of Parting Ceremonies in Dying Organizations,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
19,"Kanter, R. M.",,,,,When Giants Learn to Dance,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
20,"Kennedy, M. M.",,,,,How Evidence Alters Understanding and Decisions,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
21,"Kilmann, R. H.",,,,,A Completely Integrated Program for Creating and Maintaining Organizational Success,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
22,"Kilmann, R. H.","Saxton, M. J.","Serpa, R.",,,Issues in Understanding and Changing Culture,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
23,"King, J. A.","Pechman, E. M.",,,,The Process of Evaluation in Local School Settings,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
24,"Krefting, L. A.","Frost, P. J.",,,,Organizational Culture,JOUR,"Preskill, Hallie",,,,,,,,,,The cultural lens: Bringing utilization into focus,New Directions for Program Evaluation,1991,49,0164-7989,https://doi.org/10.1002/ev.1567,5,15
