,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Berk, R. A.","Rossi, P. H.",,,,Doing Good or Worse: Evaluation Research Politically Re-examined,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
1,,,,,,Readings in Evaluation Research,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
2,"Cochran, N.",,,,,Society as Emergent and More Than Rational: An Essay on the Inappropriateness of Program Evaluation,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
3,"Coleman, J. S.",,,,,Policy Research and Political Theory,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
4,,,,,,Evaluation in Change,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
5,"Davis, H. R.","Salasin, S.",,,,Handbook of Evaluation Research,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
6,"Edwards, W.",,,,,Social Utilities,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
7,"Edwards, W.","Guttentag, M.","Snapper, K. J.",,,Handbook of Evaluation Research,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
8,"Glaser, E. M.","Backer, T. E.",,,,A Clinical Approach to Program Evaluation,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
9,"Gold, N.",,,,,The Stakeholder Process in Educational Program Evaluation,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
10,"Guba, E. G.",,,,,The Failure of Educational Evaluation,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
11,"Guttentag, M.",,,,,Subjectivity and Its Use in Evaluation Research,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
12,"Guttentag, M.","Snapper, K.",,,,"Plans, Evaluations, and Decisions",JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
13,"House, E. R.",,,,,Evaluating with Validity,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
14,"Lock, A. R.",,,,,A Strategic Business Decision with Multiple Criteria: The Bally Men's Shoe Problem,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
15,"Parlett, M.","Hamilton, D.",,,,Evaluation Studies Review Annual 1979,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
16,"Patton, M. Q.",,,,,Utilization-Focused Evaluation,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
17,"Rutman, L.",,,,,Planning Useful Evaluations,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
18,"Schwarz, P. A.",E. Loveland,,,,Program Devaluation: Can the Experiment Reform?,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
19,"Scott, R. A.","Shore, A. R.",,,,Why Sociology Does Not Apply: A Study of the Use of Sociology in Public Policy,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
20,"Snapper, K. J.","Seaver, D. A.",,,,Application of Decision Analysis to Program Planning and Evaluation: Technical Report,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
21,"Stake, R. E.",,,,,Beyond the Numbers Game,JOUR,"Weiss, Carol H.",,,,,,,,,,The stakeholder approach to evaluation: Origins and promise,New Directions for Program Evaluation,1983,17,0164-7989,https://doi.org/10.1002/ev.1322,3,14
