,AU1_r,AU2_r,AU3_r,AU4_r,AU5_r,TI_r,TY,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,TI,JO,VL,IS,SN,DO,SP,EP
0,"Anderson, S.","Ball, S.",,,,The Profession and Practice of Program Evaluation,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
1,"Brzezinski, E.","Ahn, O.",,,,Program to Operationalize a New Training Pattern for Training Evaluation Personnel in Education,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
2,"Cary, C.",,,,,An Introductory Course in Evaluation Research,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
3,"Conner, R. F.","Davis, B. G.",,,,Analysis of Evaluation Courses,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
4,"Daudistel, H. C.","Hedderson, J.",,,,Training Evaluation Researchers,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
5,"Davis, B. G.",,,,,The Teaching of Evaluation: Content of Courses,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
6,,,,,,Standards for Program Evaluation,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
7,"Feldhusen, J.","Hynes, K.",,,,Training Evaluators with the CIPP Model of Evaluation,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
8,"Franco, J. N.","DeBlassie, R.",,,,A Model for Training Community Mental Health Researchers and Evaluators,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
9,"Gephart, W. J.","Ingle, R. B.",,,,The Introductory Evaluation Course,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
10,"Hargreaves, W.","Attkisson, C.","Horowitz, M.","Sorenson, J.",,Evaluation of Human Service Programs,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
11,"Ingle, M. D.","Klauss, R.",,,,Competency-Based Program Evaluation: A Contingency Approach,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
12,,,,,,"Standards for Evaluations of Educational Programs, Projects, and Materials",JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
13,"Lohr, W.",L. Sechrest,,,,Qualifications of Evaluators: A Federal Perspective,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
14,"Madaus, G. F.","Stufflebeam, D.","Scriven, M. S.",,,Evaluation Models,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
15,"McCullough, P.",,,,,Program Evaluation,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
16,"Maryak, J.","Gray, D.","Mehrens, W.","Lezotte, L.",,Educational Program Evaluation Curriculum: The Practitioner's Viewpoint,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
17,"Millman, J.",,,,,Selecting Educational Researchers and Evaluators,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
18,"Morell, J. A.","Flaherty, E. W.",,,,The Development of Evaluation as a Profession: Current Status and Some Predictions,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
19,"Morris, M.",,,,,Teaching Evaluation Research via a Semester-Long Simulation,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
20,"Oetting, E. R.","Hawkes, F. J.",,,,Training Professionals for Evaluative Research,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
21,"Posavac, E. J.","Carey, R. G.",,,,Program Evaluation,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
22,"Rice, D.","Buser, R.","Ellis, J.",,,Educational Evaluators: A Model for Task-Oriented Position Development,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
23,"Rossi, P. H.","Freeman, H. E.",,,,Evaluation: A Systematic Approach,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
24,"Schulberg, H. C.","Perloff, R.",,,,Academia and the Training of Human Service Delivery Program Evaluators,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
25,"Sechrest, L.",,,,,Career Opportunities for Psychologists,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
26,"Sechrest, L.",,,,,Training Program Evaluators,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
27,"Webster, W.",,,,,Competencies for Public School Evaluation Presonnel,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
28,"Weeks, E. C.",,,,,The Value of Experiential Approaches to Evaluation Training,JOUR,"Davis, Barbara Gross",,,,,,,,,,Overview of the teaching of evaluation across the disciplines,New Directions for Program Evaluation,1986,29,0164-7989,https://doi.org/10.1002/ev.1415,5,14
